Disperse (c)Imperial College NDT Lab																	
1 mm Titanium Free Plate
S0		A0		S1		S2		S3		S4		S5		S6		A1		A2		A3		A4		A5		A6	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.50164	5.28502	0.658546	2.09124	2.81378	10.0799	3.84931	13.9381	6.52072	22.744	9.18067	32.7248	9.79331	35.3408	12.9463	47.2431	2.2259	8.17207	4.84842	17.6642	6.3214	22.0784	8.14161	29.4975	11.3146	39.9003	12.2587	43.3744
1.56683	5.26111	0.701174	2.13389	2.81694	9.61971	3.8904	13.422	6.52706	21.7291	9.18908	31.2316	9.80414	33.7152	12.949	45.0059	2.25584	8.03409	4.85092	16.8341	6.34469	21.1491	8.14859	28.1284	11.316	38.0683	12.272	41.4163
1.63059	5.23469	0.738578	2.16901	2.8225	9.20842	3.93197	12.9539	6.53377	20.8038	9.19778	29.872	9.81557	32.2376	12.9519	42.9723	2.27971	7.93135	4.8539	16.0809	6.36872	20.3031	8.15595	26.8841	11.3175	36.3979	12.2858	39.6327
1.69274	5.20555	0.770631	2.19755	2.83062	8.84029	3.974	12.5277	6.54086	19.9569	9.20675	28.6289	9.82759	30.889	12.9549	41.1159	2.29736	7.85914	4.8574	15.3947	6.39345	19.5301	8.16369	25.7483	11.3191	34.8688	12.3001	38.0016
1.75309	5.17347	0.79724	2.22021	2.83993	8.55095	4.01647	12.138	6.54834	19.1791	9.21598	27.4881	9.84021	29.6534	12.9581	39.4144	2.30869	7.81433	4.86145	14.7671	6.41885	18.821	8.17184	24.7077	11.3209	33.4638	12.3149	36.5044
1.81146	5.13825	0.818341	2.23757	2.84961	8.3253	4.05935	11.7805	6.55623	18.4623	9.22546	26.4374	9.85344	28.5174	12.9614	37.8492	2.32505	7.75173	4.86608	14.1914	6.44488	18.1685	8.18038	23.751	11.3228	32.1684	12.3303	35.1253
1.86765	5.09972	0.833888	2.25001	2.85888	8.15219	4.10262	11.4513	6.56452	17.7998	9.23517	25.4667	9.86728	27.4697	12.9649	36.4048	2.3429	7.68601	4.87134	13.6616	6.47152	17.566	8.18933	22.8685	11.3249	30.9705	12.3462	33.8511
1.92149	5.05777	0.843852	2.25784	2.86705	8.02343	4.14627	11.1474	6.57325	17.1859	9.24512	24.5672	9.88174	26.5005	12.9685	35.0677	2.36729	7.60031	4.87726	13.1727	6.49875	17.0082	8.19869	22.0521	11.3271	29.8593	12.3626	32.6704
1.97283	5.01237	0.858191	2.26892	2.87354	7.93312	4.19027	10.866	6.58241	16.6154	9.25528	23.7314	9.89682	25.6016	12.9723	33.8263	2.3983	7.49757	4.88388	12.7205	6.52652	16.4904	8.20848	21.2947	11.3296	28.826	12.3794	31.5733
2.02154	4.96357	0.873801	2.28072	2.87792	7.87719	4.23461	10.6047	6.59201	16.0842	9.26564	22.9527	9.91253	24.7656	12.9762	32.6709	2.43605	7.38103	4.89122	12.3012	6.55481	16.0084	8.2187	20.5904	11.3321	27.8626	12.3968	30.5514
2.06755	4.91156	0.895065	2.29639	2.88452	7.79928	4.27926	10.3615	6.60208	15.5883	9.2762	22.2255	9.92887	23.9865	12.9803	31.5928	2.48061	7.254	4.89933	11.9117	6.58359	15.5588	8.22936	19.9338	11.3349	26.9624	12.4146	29.5973
2.11087	4.85661	0.922012	2.31559	2.89211	7.71783	4.32422	10.1346	6.61263	15.1246	9.28695	21.545	9.94583	23.2587	12.9845	30.5846	2.53208	7.11965	4.90824	11.5492	6.61284	15.1384	8.24047	19.3203	11.3379	26.1193	12.4329	28.7046
2.15155	4.79911	0.95467	2.33793	2.90313	7.61226	4.36946	9.92244	6.62366	14.6901	9.29788	20.9067	9.96343	22.5774	12.9889	29.6397	2.58384	6.99602	4.91798	11.2112	6.64253	14.7446	8.25203	18.7461	11.341	25.3281	12.4517	27.8675
2.1897	4.73956	0.99307	2.36297	2.91827	7.48694	4.41497	9.72367	6.6352	14.2823	9.30898	20.3069	9.98167	21.9385	12.9935	28.7524	2.63582	6.88182	4.92859	10.8955	6.67264	14.3748	8.26407	18.2075	11.3443	24.5844	12.4709	27.0812
2.22101	4.68639	1.03724	2.39025	2.93838	7.34695	4.46074	9.53706	6.64725	13.8989	9.32024	19.7422	10.0005	21.3383	12.9982	27.9176	2.68796	6.77589	4.94011	10.6003	6.70313	14.027	8.27658	17.7014	11.3479	23.8838	12.4905	26.3412
2.2464	4.64044	1.0815	2.41606	2.96453	7.19776	4.50674	9.36156	6.65983	13.5379	9.33167	19.2097	10.02	20.7734	13.0031	27.1308	2.74021	6.67729	4.95256	10.3239	6.73399	13.6994	8.28958	17.2252	11.3516	23.2229	12.5106	25.6436
2.26655	4.60217	1.12583	2.4405	2.99797	7.0449	4.55297	9.19622	6.67295	13.1975	9.34325	18.7066	10.0402	20.241	13.0081	26.388	2.7925	6.58516	4.96598	10.0649	6.76519	13.3901	8.30308	16.7762	11.3555	22.5984	12.5311	24.9849
2.28199	4.57182	1.17022	2.46366	3.03503	6.90983	4.59941	9.04018	6.68664	12.8761	9.35498	18.2307	10.0609	19.7384	13.0133	25.6856	2.84479	6.49877	4.98041	9.82173	6.79671	13.0978	8.31708	16.3525	11.3597	22.0074	12.552	24.362
2.29309	4.54951	1.21466	2.48562	3.07563	6.79073	4.64605	8.89269	6.70089	12.5723	9.36686	17.7797	10.0823	19.2632	13.0187	25.0206	2.89701	6.41748	4.99588	9.59337	6.82852	12.821	8.33161	15.9519	11.3641	21.4473	12.5733	23.7721
2.30007	4.53523	1.25914	2.50645	3.11962	6.68586	4.69287	8.75308	6.71574	12.2848	9.37889	17.3519	10.1043	18.8135	13.0243	24.3899	2.94912	6.34073	5.01241	9.37871	6.8606	12.5586	8.34667	15.5728	11.3686	20.9159	12.5951	23.2127
2.30997	4.51473	1.30364	2.52624	3.16677	6.59357	4.73987	8.62073	6.73119	12.0124	9.39107	16.9455	10.1269	18.3871	13.03	23.7911	3.00106	6.26802	5.03005	9.17677	6.89293	12.3095	8.36227	15.2135	11.3734	20.4109	12.6172	22.6815
2.32055	4.4925	1.34816	2.54503	3.21685	6.51232	4.78703	8.49511	6.74727	11.7541	9.40338	16.5589	10.1502	17.9826	13.036	23.2217	3.05279	6.19891	5.04881	8.98668	6.92549	12.0727	8.37842	14.8727	11.3785	19.9305	12.6397	22.1766
2.33466	4.46239	1.39269	2.56289	3.26959	6.44068	4.82826	8.39073	6.76398	11.5089	9.41585	16.1907	10.174	17.5982	13.042	22.6798	3.10426	6.13302	5.06874	8.80764	6.95825	11.8472	8.39514	14.549	11.3837	19.4731	12.6627	21.6959
2.35206	4.42457	1.43722	2.57988	3.32471	6.37736	4.86349	8.30526	6.78134	11.2759	9.42845	15.8397	10.1984	17.2326	13.0483	22.1634	3.15541	6.06999	5.08985	8.63893	6.9912	11.6323	8.41244	14.2413	11.3892	19.0369	12.6859	21.238
2.37253	4.37935	1.48175	2.59605	3.38193	6.32122	4.89269	8.23689	6.79937	11.0544	9.4412	15.5048	10.2235	16.8845	13.0548	21.6707	3.2062	6.00952	5.10923	8.49981	7.02432	11.4273	8.43032	13.9485	11.3949	18.6206	12.7096	20.8011
2.39587	4.32718	1.52627	2.61145	3.44099	6.27122	4.91581	8.18425	6.81808	10.8436	9.4541	15.1847	10.2491	16.5528	13.0614	21.2002	3.25659	5.95133	5.12649	8.3867	7.05758	11.2314	8.44881	13.6696	11.4009	18.2229	12.7336	20.3839
2.4219	4.26872	1.57078	2.62612	3.50164	6.22649	4.93283	8.14632	6.83749	10.6429	9.46715	14.8787	10.2752	16.2363	13.0683	20.7505	3.30652	5.89518	5.14128	8.29682	7.09097	11.044	8.46791	13.4038	11.4071	17.8426	12.758	19.9852
2.44732	4.21194	1.61527	2.64011	3.56365	6.18626	4.94374	8.12237	6.85762	10.4516	9.48035	14.5858	10.302	15.934	13.0753	20.3202	3.35597	5.84085	5.15331	8.22798	7.12448	10.8647	8.48763	13.1502	11.4135	17.4786	12.7827	19.6038
2.47229	4.15702	1.65974	2.65345	3.62683	6.14986	4.95942	8.0884	6.87847	10.2692	9.49371	14.3052	10.3293	15.6452	13.0825	19.9081	3.40487	5.78813	5.16234	8.17859	7.15807	10.6928	8.50798	12.9081	11.4202	17.1299	12.8078	19.2385
