Disperse (c)Imperial College NDT Lab																	
1 mm Titanium Free Plate
S0		A0		S1		S2		S3		S4		S5		S6		A1		A2		A3		A4		A5		A6	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
3.46497	3.22738	3.19364	2.89176	5.73847	5.36992	6.71077	6.29732	7.86606	7.30921	10.0935	8.87523	11.5553	10.1441	13.4811	11.8668	4.71952	4.42259	6.48842	6.09836	8.17212	7.59632	9.53166	8.65674	11.8322	10.3286	13.8406	12.0918
3.49857	3.21768	3.23679	2.89497	5.78275	5.34295	6.77355	6.27566	7.9112	7.25886	10.1075	8.82232	11.5957	10.0588	13.4975	11.7398	4.75014	4.39493	6.53916	6.06802	8.20799	7.53384	9.54542	8.63398	11.8498	10.2219	13.8726	11.9766
3.53241	3.20842	3.27992	2.89808	5.82602	5.31572	6.8369	6.25506	7.95698	7.21035	10.1186	8.78112	11.6363	9.97558	13.5143	11.6162	4.78071	4.36791	6.58985	6.03839	8.24417	7.47319	9.56043	8.60951	11.8678	10.118	13.9046	11.8641
3.56647	3.19959	3.32301	2.90108	5.86832	5.2883	6.90077	6.23543	8.00339	7.16358	10.1269	8.75118	11.677	9.89444	13.5314	11.4957	4.81125	4.34154	6.64044	6.0094	8.28068	7.41433	9.58095	8.57666	11.8862	10.0168	13.9366	11.7541
3.60074	3.19117	3.36607	2.90398	5.9097	5.26072	6.9651	6.21671	8.05041	7.11849	10.1322	8.73218	11.7179	9.81528	13.5489	11.3783	4.84177	4.3158	6.6909	5.981	8.31756	7.35721	9.60705	8.5358	11.9049	9.91827	13.9685	11.6467
3.63522	3.18313	3.40909	2.90679	5.95021	5.23305	7.02985	6.1988	8.09802	7.07499	10.1399	8.70507	11.7589	9.73804	13.5668	11.2639	4.87231	4.29069	6.74117	5.95313	8.35481	7.3018	9.63885	8.4874	11.9241	9.82228	14.0005	11.5416
3.66991	3.17546	3.45209	2.9095	5.98991	5.20532	7.09496	6.18163	8.14623	7.03303	10.1483	8.67589	11.8001	9.66262	13.585	11.1524	4.90287	4.2662	6.79121	5.92572	8.39247	7.24804	9.67645	8.43199	11.9437	9.72876	14.0324	11.4389
3.70479	3.16813	3.49505	2.91213	6.02884	5.17759	7.16038	6.16513	8.195	6.99254	10.1598	8.63666	11.8413	9.58897	13.6037	11.0436	4.93345	4.2423	6.841	5.89874	8.43056	7.1959	9.72001	8.37014	11.9637	9.63763	14.0642	11.3384
3.73986	3.16114	3.53798	2.91467	6.06705	5.14989	7.22604	6.14922	8.24434	6.95346	10.1745	8.58781	11.8827	9.51701	13.6227	10.9375	4.96409	4.21901	6.89048	5.87213	8.4691	7.14535	9.76397	8.31008	11.9841	9.54883	14.096	11.2401
3.77512	3.15445	3.58088	2.91713	6.10459	5.12227	7.2919	6.13384	8.29424	6.91574	10.1925	8.52983	11.9241	9.44669	13.6421	10.8341	4.99478	4.19629	6.93964	5.84585	8.5081	7.09633	9.80831	8.25173	12.0049	9.46227	14.1278	11.1438
3.81055	3.14807	3.62375	2.91952	6.14151	5.09475	7.35789	6.11892	8.34469	6.87932	10.214	8.46331	11.9657	9.37793	13.6619	10.7332	5.02554	4.17415	6.98842	5.81987	8.54759	7.04883	9.85304	8.19502	12.0262	9.37791	14.1594	11.0495
3.84616	3.14197	3.6666	2.92182	6.17785	5.06738	7.42395	6.1044	8.39567	6.84415	10.239	8.38893	12.0073	9.31069	13.6821	10.6348	5.05638	4.15257	7.03681	5.79415	8.58758	7.00279	9.89811	8.13988	12.0479	9.29566	14.191	10.9571
3.88193	3.13614	3.70941	2.92406	6.21365	5.04018	7.49003	6.09022	8.4472	6.81019	10.2644	8.31657	12.0489	9.2449	13.7028	10.5387	5.0873	4.13154	7.08478	5.76865	8.62809	6.95819	9.94353	8.08624	12.0701	9.21548	14.2224	10.8666
3.91787	3.13057	3.75219	2.92622	6.24897	5.01319	7.55608	6.07632	8.49927	6.77741	10.2904	8.24618	12.0906	9.18052	13.7239	10.445	5.11831	4.11105	7.1323	5.74336	8.66912	6.91497	9.98927	8.03404	12.0898	9.14724	14.2538	10.7779
3.95396	3.12524	3.79494	2.92832	6.28382	4.98642	7.62203	6.06265	8.55188	6.74576	10.3168	8.17769	12.127	9.12551	13.7454	10.3536	5.14943	4.09108	7.17935	5.71824	8.71069	6.87312	10.0353	7.98322	12.1069	9.09024	14.285	10.6909
3.9902	3.12014	3.83767	2.93035	6.31826	4.9599	7.68783	6.04915	8.60503	6.71521	10.3437	8.11106	12.158	9.07941	13.7673	10.2644	5.18065	4.07162	7.2259	5.69327	8.7528	6.83258	10.0816	7.93373	12.1212	9.04391	14.3161	10.6056
4.02659	3.11526	3.88037	2.93231	6.35232	4.93364	7.75342	6.03578	8.65872	6.68572	10.3712	8.04623	12.1836	9.04182	13.7898	10.1773	5.21198	4.05267	7.27195	5.66844	8.79545	6.79332	10.1283	7.8855	12.1326	9.00777	14.3471	10.5219
4.06312	3.1106	3.92304	2.93422	6.38603	4.90767	7.81875	6.02249	8.71297	6.65728	10.3991	7.98315	12.2039	9.01242	13.8127	10.0923	5.24343	4.0342	7.31747	5.64373	8.83865	6.75529	10.1751	7.83849	12.1411	8.98149	14.3779	10.4397
4.09979	3.10613	3.96568	2.93607	6.41942	4.88199	7.88375	6.00923	8.76778	6.62984	10.4275	7.92178	12.2189	8.99099	13.836	10.0093	5.275	4.01621	7.36245	5.61913	8.8824	6.71847	10.2222	7.79265	12.1465	8.96479	14.4086	10.3591
4.13659	3.10186	4.0083	2.93786	6.45252	4.85663	7.94838	5.99596	8.82315	6.6034	10.4565	7.86207	12.2284	8.97736	13.8599	9.92824	5.3067	3.99869	7.40689	5.59462	8.92669	6.68281	10.2696	7.74792	12.1544	8.94095	14.4391	10.2799
4.17352	3.09777	4.05089	2.93959	6.48535	4.83158	8.01258	5.98264	8.87911	6.57791	10.486	7.80397	12.2421	8.95787	13.8842	9.84915	5.33852	3.98162	7.45078	5.57021	8.97152	6.64827	10.3171	7.70428	12.1631	8.91526	14.4695	10.2022
4.21057	3.09385	4.09345	2.94128	6.51795	4.80687	8.07629	5.96923	8.93565	6.55337	10.5161	7.74745	12.257	8.93683	13.9091	9.77193	5.37047	3.96499	7.49411	5.54587	9.01687	6.61481	10.3649	7.66167	12.1749	8.88068	14.4997	10.1258
4.24774	3.0901	4.13599	2.94291	6.55034	4.7825	8.13947	5.95569	8.99279	6.52975	10.5467	7.69247	12.2773	8.90846	13.9344	9.69654	5.40256	3.94879	7.53689	5.52162	9.06274	6.58238	10.4129	7.62005	12.1901	8.83755	14.5298	10.0507
4.28503	3.0865	4.1785	2.94449	6.58253	4.75846	8.20207	5.942	9.05053	6.50703	10.5779	7.63897	12.303	8.87295	13.9603	9.62292	5.43479	3.93301	7.57911	5.49744	9.1091	6.55096	10.461	7.57939	12.2087	8.78628	14.5597	9.977
4.32243	3.08306	4.22098	2.94602	6.61455	4.73478	8.26402	5.92813	9.1089	6.4852	10.6096	7.58694	12.334	8.83058	13.9867	9.55105	5.46715	3.91764	7.62078	5.47335	9.15595	6.52048	10.5093	7.53964	12.2308	8.72733	14.5894	9.90452
4.35994	3.07975	4.26344	2.94751	6.64642	4.71145	8.3253	5.91404	9.16788	6.46422	10.642	7.53632	12.3703	8.78165	14.0137	9.48086	5.49965	3.90266	7.6619	5.44933	9.20325	6.49092	10.5578	7.50078	12.2567	8.66125	14.619	9.83327
4.39756	3.07659	4.30588	2.94895	6.67816	4.68847	8.38586	5.89971	9.2275	6.44409	10.6749	7.48709	12.412	8.72647	14.0412	9.41233	5.53229	3.88807	7.70249	5.4254	9.251	6.46224	10.6064	7.46277	12.2831	8.59679	14.6485	9.76322
4.43528	3.07355	4.34829	2.95035	6.70978	4.66585	8.44565	5.88513	9.28775	6.42478	10.7084	7.4392	12.4536	8.67231	14.0656	9.35392	5.56507	3.87386	7.74255	5.40156	9.29916	6.43438	10.6551	7.42558	12.3101	8.53393	14.6778	9.69433
4.47309	3.07064	4.39068	2.95171	6.7413	4.64359	8.50465	5.87027	9.34864	6.40626	10.7425	7.39263	12.4952	8.61914	14.0867	9.30508	5.598	3.86002	7.78209	5.37781	9.34771	6.40732	10.704	7.38918	12.3376	8.47262	14.7069	9.62657
4.511	3.06785	4.43305	2.95303	6.77273	4.62168	8.56282	5.85513	9.41016	6.38852	10.7772	7.34734	12.5367	8.56691	14.1044	9.26534	5.63106	3.84653	7.82113	5.35417	9.39663	6.381	10.753	7.35354	12.3656	8.41281	14.7359	9.55993
4.54901	3.06518	4.47539	2.95431	6.80409	4.60013	8.62014	5.83969	9.47231	6.37152	10.8126	7.3033	12.5782	8.5156	14.1186	9.23432	5.66427	3.83338	7.85968	5.33063	9.44588	6.35539	10.8021	7.31864	12.3942	8.35449	14.7647	9.49437
4.5871	3.06261	4.51771	2.95555	6.83539	4.57893	8.67659	5.82394	9.53507	6.35525	10.8485	7.26047	12.6195	8.46517	14.129	9.21174	5.69763	3.82058	7.89776	5.30721	9.49543	6.33046	10.8513	7.28445	12.4233	8.2976	14.7898	9.4381
4.62528	3.06015	4.56	2.95675	6.86665	4.55809	8.73215	5.80789	9.59844	6.33967	10.8851	7.21884	12.6607	8.4156	14.1358	9.19739	5.73112	3.8081	7.93539	5.2839	9.54526	6.30615	10.9006	7.25094	12.453	8.24212	14.811	9.39076
4.66354	3.05778	4.60227	2.95792	6.89786	4.5376	8.78681	5.79154	9.6624	6.32476	10.9222	7.17836	12.7019	8.36685	14.1456	9.1769	5.76476	3.79594	7.97257	5.26073	9.59534	6.28244	10.95	7.21809	12.4833	8.18802	14.8286	9.35204
4.70189	3.05551	4.64452	2.95905	6.92905	4.51745	8.84056	5.77489	9.72693	6.31048	10.96	7.139	12.7429	8.31891	14.1562	9.15481	5.79854	3.78409	8.00933	5.2377	9.64562	6.25929	10.9994	7.18589	12.5142	8.13525	14.8424	9.32169
4.74031	3.05333	4.68675	2.96015	6.96022	4.49765	8.89341	5.75795	9.792	6.2968	10.9985	7.10075	12.7838	8.27173	14.1709	9.12506	5.83246	3.77254	8.04569	5.21482	9.69608	6.23666	11.049	7.15431	12.5456	8.0838	14.8525	9.29952
4.77881	3.05124	4.72896	2.96122	6.99138	4.4782	8.94535	5.74072	9.85759	6.28369	11.0375	7.06356	12.8246	8.22531	14.1896	9.08792	5.86652	3.76128	8.08166	5.19209	9.74669	6.21452	11.0986	7.12333	12.5777	8.03362	14.859	9.28541
4.81738	3.04923	4.77114	2.96225	7.02254	4.45908	8.99639	5.72323	9.92367	6.27112	11.0772	7.02742	12.8653	8.17962	14.2125	9.04373	5.90072	3.75031	8.11726	5.16952	9.7974	6.19283	11.1483	7.09294	12.6103	7.9847	14.8684	9.2652
4.85603	3.04729	4.81331	2.96326	7.05371	4.44029	9.04655	5.70547	9.99021	6.25905	11.1175	6.99229	12.9059	8.13463	14.2398	8.99287	5.93506	3.73962	8.15252	5.14712	9.8482	6.17156	11.1981	7.06311	12.6436	7.93699	14.8785	9.24336
4.89474	3.04544	4.85545	2.96424	7.08489	4.42183	9.09584	5.68748	10.0572	6.24745	11.1584	6.95815	12.9463	8.09034	14.2717	8.93579	5.96954	3.72919	8.18745	5.1249	9.89904	6.15069	11.2479	7.03384	12.6774	7.89047	14.8922	9.21386
4.93352	3.04366	4.89757	2.96518	7.11609	4.4037	9.14427	5.66926	10.1245	6.23628	11.2	6.92498	12.9866	8.04671	14.3042	8.88003	6.00416	3.71903	8.22206	5.10287	9.94989	6.13017	11.2978	7.00511	12.7119	7.84512	14.9096	9.17687
4.97236	3.04194	4.93968	2.9661	7.14732	4.38589	9.19186	5.65083	10.1922	6.22552	11.2421	6.89274	13.0267	8.00373	14.3372	8.82558	6.03891	3.70912	8.25638	5.08102	10.0007	6.10998	11.3478	6.9769	12.747	7.80091	14.9305	9.13262
5.01127	3.0403	4.98176	2.96699	7.17859	4.3684	9.23864	5.63221	10.2602	6.21512	11.2849	6.86142	13.0667	7.96139	14.3708	8.7724	6.07379	3.69945	8.29043	5.05937	10.0515	6.09009	11.3978	6.94921	12.7827	7.75781	14.955	9.08137
5.05024	3.03871	5.02382	2.96786	7.20989	4.35121	9.28463	5.61342	10.3285	6.20505	11.3284	6.83099	13.1066	7.91967	14.4051	8.72046	6.10881	3.69003	8.32421	5.03792	10.1022	6.07049	11.4479	6.92201	12.8191	7.71578	14.983	9.02343
5.08927	3.03719	5.06587	2.9687	7.24123	4.33434	9.32985	5.59448	10.3971	6.19529	11.3724	6.80143	13.1464	7.87856	14.4399	8.66972	6.14397	3.68084	8.35775	5.01667	10.1528	6.05113	11.4981	6.8953	12.856	7.67482	15.011	8.9664
5.12835	3.03573	5.10789	2.96952	7.27262	4.31777	9.37432	5.57541	10.4658	6.1858	11.4171	6.77273	13.186	7.83804	14.4753	8.62015	6.17925	3.67188	8.39106	4.99564	10.2032	6.032	11.5483	6.86907	12.8936	7.63489	15.039	8.91027
5.16749	3.03432	5.1499	2.97031	7.30406	4.30149	9.41808	5.55621	10.5346	6.17654	11.4623	6.74485	13.2255	7.7981	14.5112	8.57173	6.21466	3.66314	8.42416	4.97482	10.2535	6.01308	11.5987	6.84331	12.9318	7.59596	15.0669	8.85501
5.20668	3.03297	5.19188	2.97108	7.33556	4.28551	9.46114	5.53693	10.6036	6.1675	11.5083	6.71778	13.2649	7.75874	14.5478	8.52442	6.2502	3.65462	8.45706	4.95422	10.3036	5.99434	11.6491	6.81801	12.9706	7.55802	15.0947	8.80062
5.24593	3.03167	5.23385	2.97183	7.36711	4.26981	9.50354	5.51756	10.6726	6.15862	11.5548	6.6915	13.3042	7.71994	14.5849	8.47819	6.28587	3.6463	8.48978	4.93384	10.3534	5.97577	11.6996	6.79316	13.01	7.52103	15.1226	8.74709
5.28523	3.03041	5.2758	2.97256	7.39873	4.2544	9.54529	5.49812	10.7416	6.1499	11.602	6.66599	13.3434	7.68169	14.6226	8.43302	6.32166	3.63819	8.52233	4.91368	10.403	5.95734	11.7501	6.76874	13.0501	7.48498	15.1505	8.6944
5.32457	3.02921	5.31773	2.97326	7.43041	4.23926	9.58644	5.47864	10.8106	6.14129	11.6498	6.64125	13.3825	7.64399	14.6608	8.38887	6.35758	3.63027	8.55472	4.89375	10.4523	5.93905	11.8008	6.74477	13.0907	7.44983	15.1783	8.64253
5.36396	3.02805	5.35965	2.97394	7.46216	4.2244	9.62699	5.45913	10.8795	6.13276	11.6982	6.61725	13.4215	7.60683	14.6996	8.34572	6.39362	3.62255	8.58697	4.87405	10.5013	5.92086	11.8515	6.72122	13.132	7.41557	15.2062	8.59148
5.4034	3.02693	5.40154	2.97461	7.49398	4.2098	9.66698	5.4396	10.9483	6.12429	11.7473	6.59398	13.4605	7.5702	14.7389	8.30354	6.42978	3.61501	8.61909	4.85458	10.55	5.90277	11.9024	6.69808	13.1738	7.38217	15.2342	8.54123
5.44288	3.02586	5.44342	2.97525	7.52587	4.19547	9.70643	5.42007	11.0169	6.11585	11.797	6.57143	13.4994	7.5341	14.7787	8.2623	6.46606	3.60765	8.65109	4.83534	10.5983	5.88477	11.9534	6.67536	13.2163	7.34961	15.2622	8.49178
5.48241	3.02482	5.48529	2.97588	7.55784	4.1814	9.74537	5.40055	11.0852	6.10741	11.8475	6.54959	13.5382	7.49852	14.8191	8.22196	6.50245	3.60047	8.68298	4.81633	10.6463	5.86684	12.0044	6.65304	13.2593	7.31786	15.2902	8.44311
5.52198	3.02383	5.52713	2.97649	7.58988	4.16758	9.78381	5.38106	11.1533	6.09894	11.8985	6.52846	13.577	7.46345	14.8599	8.18252	6.53897	3.59347	8.71477	4.79755	10.6939	5.84897	12.0556	6.63112	13.303	7.28691	15.3183	8.39521
5.56159	3.02287	5.56896	2.97708	7.622	4.154	9.82179	5.36159	11.221	6.0904	11.9503	6.50802	13.6158	7.4289	14.9013	8.14393	6.57559	3.58663	8.74647	4.77901	10.7411	5.83116	12.1069	6.60958	13.3471	7.25672	15.3465	8.34806
5.60124	3.02194	5.61078	2.97765	7.6542	4.14068	9.85932	5.34218	11.2884	6.08179	12.0028	6.48826	13.6546	7.39486	14.9431	8.10618	6.61233	3.57995	8.77809	4.7607	10.7879	5.81339	12.1583	6.58842	13.3919	7.22729	15.3748	8.30167
5.64092	3.02105	5.65257	2.9782	7.68648	4.12759	9.89643	5.32283	11.3552	6.07306	12.0561	6.46919	13.6934	7.36133	14.9854	8.06923	6.64918	3.57343	8.80965	4.74262	10.8343	5.79565	12.2098	6.56764	13.4372	7.19858	15.4032	8.25602
5.68064	3.0202	5.69436	2.97874	7.71885	4.11474	9.93314	5.30354	11.4216	6.06419	12.1101	6.45079	13.7322	7.3283	15.0282	8.03306	6.68614	3.56706	8.84114	4.72477	10.8803	5.77794	12.2614	6.54723	13.483	7.17057	15.4318	8.2111
5.7204	3.01937	5.73612	2.97927	7.7513	4.10211	9.96946	5.28433	11.4875	6.05515	12.1648	6.43307	13.7711	7.29577	15.0714	7.99765	6.72321	3.56085	8.87258	4.70715	10.9258	5.76026	12.3132	6.52717	13.5294	7.14326	15.4605	8.16691
5.7602	3.01857	5.77787	2.97978	7.78383	4.08972	10.0054	5.2652	11.5527	6.04593	12.2203	6.41601	13.81	7.26374	15.115	7.96298	6.76039	3.55478	8.90397	4.68976	10.9709	5.74259	12.365	6.50745	13.5763	7.1166	15.4893	8.12342
5.80003	3.01781	5.81961	2.98027	7.81645	4.07754	10.041	5.24617	11.6172	6.03649	12.2767	6.39962	13.849	7.2322	15.159	7.92901	6.79767	3.54885	8.93532	4.6726	11.0155	5.72495	12.417	6.48808	13.6237	7.0906	15.5183	8.08064
5.83989	3.01707	5.86133	2.98075	7.84915	4.06558	10.0763	5.22724	11.6811	6.02682	12.3338	6.38388	13.8881	7.20115	15.2034	7.89573	6.83506	3.54306	8.96664	4.65567	11.0596	5.70731	12.469	6.46904	13.6716	7.06522	15.5475	8.03856
5.87978	3.01636	5.90304	2.98122	7.88195	4.05384	10.1113	5.20842	11.7442	6.0169	12.3918	6.3688	13.9273	7.1706	15.2482	7.86312	6.87254	3.5374	8.99794	4.63896	11.1034	5.68969	12.5212	6.45032	13.72	7.04044	15.5768	7.99716
5.91971	3.01567	5.94473	2.98167	7.91483	4.0423	10.146	5.18972	11.8065	6.00671	12.4507	6.35437	13.9666	7.14053	15.2933	7.83114	6.91013	3.53187	9.02921	4.62248	11.1466	5.67209	12.5735	6.43191	13.7689	7.01626	15.6064	7.95644
5.95966	3.01501	5.98641	2.98211	7.94779	4.03097	10.1804	5.17114	11.868	5.99624	12.5104	6.34056	14.006	7.11095	15.3388	7.79979	6.94782	3.52647	9.06047	4.60621	11.1894	5.65449	12.6258	6.4138	13.8182	6.99264	15.6361	7.91639
5.99964	3.01437	6.02807	2.98253	7.98085	4.01984	10.2146	5.15268	11.9286	5.98548	12.571	6.32739	14.0456	7.08185	15.3846	7.76904	6.98561	3.5212	9.09173	4.59017	11.2317	5.63691	12.6783	6.39598	13.868	6.96958	15.6661	7.877
6.03965	3.01375	6.06972	2.98295	8.014	4.00891	10.2485	5.13435	11.9883	5.97443	12.6324	6.31482	14.0854	7.05324	15.4308	7.73886	7.02349	3.51604	9.12297	4.57435	11.2736	5.61934	12.7308	6.37844	13.9182	6.94705	15.6963	7.83827
6.07969	3.01316	6.11136	2.98335	8.04723	3.99817	10.2822	5.11616	12.0471	5.96308	12.6947	6.30285	14.1253	7.0251	15.4772	7.70925	7.06146	3.511	9.15423	4.55874	11.315	5.60179	12.7834	6.36118	13.9689	6.92504	15.7268	7.80019
6.11976	3.01259	6.15298	2.98374	8.08055	3.98762	10.3157	5.09811	12.105	5.95143	12.7578	6.29146	14.1654	6.99744	15.5239	7.68018	7.09953	3.50608	9.18548	4.54335	11.356	5.58426	12.836	6.34417	14.0199	6.90353	15.7575	7.76274
6.15985	3.01204	6.19459	2.98412	8.11397	3.97725	10.349	5.0802	12.162	5.93949	12.8218	6.28062	14.2058	6.97025	15.5709	7.65163	7.13769	3.50127	9.21675	4.52817	11.3966	5.56675	12.8886	6.3274	14.0714	6.88251	15.7885	7.72593
6.19997	3.01151	6.23619	2.98449	8.14747	3.96707	10.3821	5.06244	12.218	5.92725	12.8866	6.27032	14.2463	6.94353	15.6182	7.62358	7.17594	3.49656	9.24803	4.5132	11.4367	5.54926	12.9413	6.31087	14.1233	6.86196	15.8197	7.68974
6.24011	3.01099	6.27777	2.98484	8.18106	3.95706	10.415	5.04483	12.2732	5.91474	12.9521	6.26053	14.2871	6.91728	15.6656	7.59602	7.21428	3.49196	9.27933	4.49844	11.4764	5.53181	12.994	6.29457	14.1756	6.84187	15.8513	7.65417
6.28027	3.0105	6.31935	2.98519	8.21475	3.94723	10.4477	5.02738	12.3274	5.90196	13.0184	6.25122	14.3281	6.89149	15.7133	7.56893	7.25271	3.48747	9.31065	4.48388	11.5157	5.51438	13.0467	6.27847	14.2282	6.82222	15.8832	7.61921
6.32046	3.01002	6.36091	2.98552	8.24852	3.93757	10.4803	5.01007	12.3807	5.88893	13.0854	6.24237	14.3694	6.86616	15.7612	7.54229	7.29123	3.48307	9.342	4.46953	11.5546	5.49699	13.0994	6.26258	14.2812	6.803	15.9153	7.58486
6.36067	3.00956	6.40246	2.98585	8.28238	3.92808	10.5128	4.99293	12.4332	5.87565	13.153	6.23395	14.411	6.84129	15.8093	7.51609	7.32982	3.47877	9.37337	4.45537	11.5932	5.47965	13.152	6.24688	14.3345	6.7842	15.9478	7.5511
6.40091	3.00911	6.44399	2.98617	8.31633	3.91875	10.5451	4.97594	12.4849	5.86214	13.2213	6.22594	14.4528	6.81686	15.8576	7.49031	7.36851	3.47457	9.40478	4.44141	11.6313	5.46234	13.2045	6.23135	14.3882	6.76579	15.9806	7.51794
6.44116	3.00869	6.48552	2.98647	8.35037	3.90958	10.5773	4.95911	12.5357	5.84842	13.2902	6.2183	14.4949	6.79289	15.906	7.46494	7.40727	3.47046	9.43622	4.42765	11.669	5.44509	13.257	6.21599	14.4422	6.74778	16.0138	7.48536
6.48143	3.00827	6.52703	2.98677	8.38449	3.90057	10.6093	4.94245	12.5857	5.8345	13.3596	6.21101	14.5373	6.76937	15.9546	7.43997	7.44612	3.46643	9.46769	4.41408	11.7064	5.42789	13.3095	6.20078	14.4966	6.73014	16.0473	7.45336
6.52173	3.00787	6.56854	2.98706	8.41871	3.89172	10.6413	4.92594	12.6349	5.82041	13.4294	6.20403	14.5801	6.74628	16.0033	7.41537	7.48504	3.4625	9.49921	4.4007	11.7435	5.41074	13.3618	6.18572	14.5512	6.71286	16.0812	7.42194
6.56204	3.00749	6.61003	2.98734	8.45301	3.88301	10.6732	4.9096	12.6834	5.80614	13.4998	6.19736	14.6231	6.72363	16.0521	7.39113	7.52405	3.45865	9.53077	4.38751	11.7802	5.39366	13.4139	6.17079	14.6062	6.69594	16.1155	7.39108
6.60237	3.00711	6.65151	2.98761	8.4874	3.87446	10.705	4.89342	12.7311	5.79172	13.5705	6.19094	14.6665	6.70141	16.101	7.36725	7.56313	3.45488	9.56237	4.3745	11.8166	5.37664	13.466	6.15598	14.6614	6.67936	16.1501	7.36078
6.64273	3.00675	6.69298	2.98788	8.52188	3.86605	10.7367	4.87741	12.7781	5.77716	13.6416	6.18478	14.7102	6.67962	16.1501	7.34371	7.60228	3.4512	9.59401	4.36168	11.8527	5.3597	13.5179	6.14128	14.7169	6.66311		
6.68309	3.00641	6.73444	2.98813	8.55644	3.85779	10.7683	4.86156	12.8245	5.76248	13.7131	6.17883	14.7542	6.65826			7.64151	3.4476	9.62571	4.34904	11.8885	5.34283	13.5695	6.12668	14.7726	6.64718		
6.72348	3.00607	6.77589	2.98838	8.59109	3.84966	10.7999	4.84588	12.8702	5.74768	13.7848	6.17308	14.7986	6.63731			7.68082	3.44407	9.65745	4.33657	11.924	5.32604	13.621	6.11217	14.8286	6.63155		
6.76388	3.00575	6.81733	2.98863	8.62583	3.84167	10.8314	4.83036	12.9153	5.73279	13.8567	6.1675	14.8434	6.61679			7.72019	3.44061	9.68924	4.32428	11.9593	5.30933	13.6723	6.09775	14.8849	6.61623		
6.8043	3.00544	6.85876	2.98886	8.66065	3.83382	10.8628	4.815	12.9598	5.7178	13.9288	6.16207	14.8885	6.59667			7.75964	3.43723	9.72109	4.31216	11.9942	5.2927	13.7234	6.0834	14.9414	6.60119		
6.84474	3.00513	6.90018	2.98909	8.69556	3.8261	10.8942	4.79981	13.0037	5.70274	14.0011	6.15677	14.9341	6.57697			7.79915	3.43393	9.75299	4.30021	12.029	5.27617	13.7742	6.06911	14.9981	6.58642		
6.88519	3.00484	6.94159	2.98931	8.73055	3.8185	10.9256	4.78478	13.047	5.68761	14.0734	6.15159	14.98	6.55768			7.83874	3.43069	9.78494	4.28842	12.0634	5.25972	13.8248	6.05488	15.055	6.57193		
6.92565	3.00456	6.98299	2.98952	8.76563	3.81104	10.9569	4.76991	13.0898	5.67243	14.1459	6.14649	15.0263	6.53879			7.87839	3.42752	9.81695	4.27681	12.0977	5.24338	13.875	6.0407	15.1121	6.55769		
6.96613	3.00429	7.02438	2.98973	8.80078	3.8037	10.9882	4.75521	13.132	5.65719	14.2183	6.14146	15.073	6.5203			7.91811	3.42441	9.84902	4.26535	12.1317	5.22713	13.925	6.02657	15.1694	6.5437		
7.00663	3.00403	7.06577	2.98993	8.83602	3.79648	11.0194	4.74066	13.1738	5.64192	14.2908	6.13648	15.1202	6.50222			7.9579	3.42137	9.88114	4.25406	12.1655	5.21098	13.9747	6.01246	15.2269	6.52995		
7.04713	3.00377	7.10714	2.99013	8.87135	3.78937	11.0507	4.72628	13.215	5.62661	14.3631	6.13153	15.1678	6.48455			7.99774	3.4184	9.91333	4.24292	12.1992	5.19494	14.0241	5.99839	15.2845	6.51642		
7.08765	3.00353	7.14851	2.99032	8.90675	3.78239	11.0819	4.71206	13.2558	5.61129	14.4354	6.12658	15.2159	6.46728			8.03766	3.41548	9.94558	4.23194	12.2326	5.179	14.0731	5.98434	15.3423	6.50311		
7.12819	3.00329	7.18987	2.9905	8.94223	3.77552	11.1131	4.69799	13.2961	5.59594	14.5075	6.12163	15.2645	6.45041			8.07763	3.41263	9.97788	4.22111	12.2659	5.16317	14.1218	5.97031	15.4002	6.49001		
7.16874	3.00306	7.23122	2.99068	8.9778	3.76877	11.1443	4.68408	13.336	5.58059	14.5793	6.11664	15.3136	6.43396			8.11766	3.40983	10.0103	4.21043	12.299	5.14746	14.1701	5.95629	15.4582	6.47711		
7.20929	3.00284	7.27256	2.99085	9.01344	3.76212	11.1755	4.67033	13.3755	5.56524	14.6509	6.11159	15.3632	6.41792			8.15776	3.40709	10.0427	4.1999	12.3319	5.13185	14.2181	5.94228	15.5163	6.4644		
7.24987	3.00263	7.31389	2.99102	9.04917	3.75558	11.2066	4.65673	13.4145	5.54989	14.7222	6.10647	15.4135	6.4023			8.19791	3.4044	10.0752	4.18952	12.3647	5.11636	14.2657	5.92828	15.5745	6.45187		
7.29045	3.00242	7.35522	2.99118	9.08497	3.74915	11.2378	4.64329	13.4531	5.53455	14.7931	6.10124	15.4643	6.38711			8.23812	3.40177	10.1077	4.17928	12.3973	5.10098	14.3129	5.91428	15.6328	6.43951		
